Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,Eval-Split
TweetEval,1000,LoRA-Balanced,2024,0.7377616575397671,0.7377616575397671,0.74,0.7400000000000001,0.730988839459246,0.8996000000000001,62.522804498672485,0.3250572681427002,2004.33056640625,0.887043,0.8256880733944955,0.6666666666666666,0.7209302325581395,bestparams_rerun
TweetEval,1000,LoRA-Focal,2024,0.7428015155197497,0.7428015155197497,0.7466666666666667,0.7466666666666667,0.7375913896131309,0.8689333333333332,75.5620813369751,0.32124972343444824,2004.3310546875,0.887043,0.822429906542056,0.6382978723404256,0.7676767676767676,bestparams_rerun
TweetEval,1000,LoRA-LDAM,2024,0.6650413356219529,0.6650413356219529,0.6666666666666666,0.6666666666666666,0.6577332708029638,0.8721333333333333,71.0548632144928,0.3079233169555664,2004.3310546875,0.887043,0.7238095238095238,0.6371681415929203,0.6341463414634146,bestparams_rerun
TweetEval,1000,LoRA-LogitAdj,2024,0.7036463739490012,0.7036463739490011,0.7066666666666667,0.7066666666666667,0.6973943948405437,0.8889333333333335,74.13143515586853,0.31234264373779297,2004.3310546875,0.887043,0.7818181818181819,0.5979381443298969,0.7311827956989247,bestparams_rerun
TweetEval,1000,LoRA-Ours,2024,0.7529304029304029,0.7529304029304029,0.7533333333333333,0.7533333333333334,0.7504814686289175,0.8816,106.28997302055359,0.38350415229797363,2080.81201171875,6.893704,0.8,0.7115384615384616,0.7472527472527473,bestparams_rerun
TweetEval,1000,LoRA-Vanilla,2024,0.720463379705401,0.720463379705401,0.72,0.7200000000000001,0.7046761754103955,0.8992666666666667,73.94950079917908,0.3065989017486572,2004.330078125,0.887043,0.7659574468085106,0.703125,0.6923076923076923,bestparams_rerun
TweetEval,2000,DoRA-Balanced,45,0.6751230751379933,0.6751230751379933,0.68,0.68,0.6603854497789253,0.8856666666666667,81.31637644767761,0.6010525226593018,2742.951171875,0.914691,0.7377049180327869,0.5434782608695652,0.7441860465116279,bestparams_rerun
TweetEval,2000,Full-FineTuning,45,0.7637999066570496,0.7637999066570496,0.76,0.7600000000000001,0.7598245208896296,0.8802666666666666,94.5460684299469,0.22135186195373535,3487.59375,124.647939,0.7755102040816326,0.7027027027027027,0.8131868131868132,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoHSP,45,0.6993593290585771,0.6993593290585772,0.7066666666666667,0.7066666666666667,0.6888013917469608,0.8816,90.85633444786072,0.3793914318084717,2232.62255859375,1.576067,0.7543859649122807,0.5681818181818182,0.7755102040816326,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoMem,45,0.711018534319778,0.711018534319778,0.7133333333333334,0.7133333333333334,0.7043538166392413,0.8814000000000001,107.7546637058258,0.3344910144805908,2285.56201171875,6.20468,0.7476635514018691,0.5894736842105263,0.7959183673469388,bestparams_rerun
TweetEval,2000,LoRA-Balanced,45,0.7017305097041282,0.7017305097041283,0.7,0.6999999999999998,0.6961970640293133,0.8812000000000001,106.58324074745178,0.3256247043609619,2225.2646484375,0.887043,0.6972477064220184,0.6122448979591837,0.7956989247311828,bestparams_rerun
TweetEval,2000,LoRA-Focal,45,0.6735835015286344,0.6735835015286344,0.6933333333333334,0.6933333333333334,0.6475028448069484,0.8569333333333334,98.57639241218567,0.3177835941314697,2225.26513671875,0.887043,0.7642276422764228,0.4810126582278481,0.7755102040816326,bestparams_rerun
TweetEval,2000,LoRA-LDAM,45,0.7227821950801664,0.7227821950801665,0.72,0.7200000000000001,0.7183294603550257,0.8915333333333333,108.56878900527954,0.31973981857299805,2225.26513671875,0.887043,0.7096774193548387,0.6545454545454545,0.8041237113402062,bestparams_rerun
TweetEval,2000,LoRA-LogitAdj,45,0.7057422159946153,0.7057422159946153,0.7066666666666667,0.7066666666666667,0.700951088126235,0.8900666666666665,65.70797562599182,0.5039722919464111,2225.26513671875,0.887043,0.7522935779816514,0.6122448979591837,0.7526881720430108,bestparams_rerun
TweetEval,2000,LoRA-Ours,45,0.6978182951534985,0.6978182951534986,0.7,0.6999999999999998,0.6905393808125316,0.8804666666666666,121.32444739341736,0.39554286003112793,2297.26025390625,6.893704,0.7304347826086957,0.6021505376344086,0.7608695652173914,bestparams_rerun
TweetEval,2000,LoRA-Vanilla,45,0.6948727317502764,0.6948727317502764,0.6933333333333334,0.6933333333333334,0.6902372635007549,0.8866666666666667,114.65874028205872,0.3155553340911865,2225.26416015625,0.887043,0.7572815533980582,0.5961538461538461,0.7311827956989247,bestparams_rerun
TweetEval,2000,DoRA-Balanced,123,0.7295328142380423,0.7295328142380423,0.7333333333333333,0.7333333333333334,0.7183811365030216,0.8921999999999999,70.26223850250244,0.4878354072570801,2750.0576171875,0.914691,0.7833333333333333,0.6236559139784946,0.7816091954022989,bestparams_rerun
TweetEval,2000,Full-FineTuning,123,0.7231583231583231,0.7231583231583233,0.72,0.7200000000000001,0.7192584958708934,0.8706,113.07067465782166,0.21386432647705078,3493.52099609375,124.647939,0.7676767676767676,0.6545454545454545,0.7472527472527473,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoHSP,123,0.7106251129861558,0.7106251129861557,0.7333333333333333,0.7333333333333333,0.6858095105850717,0.8795333333333334,59.53828406333923,0.5135953426361084,2235.90087890625,1.576067,0.8205128205128205,0.5263157894736842,0.7850467289719626,bestparams_rerun
TweetEval,2000,LoRA-Ablation-NoMem,123,0.7069854324571306,0.7069854324571306,0.7133333333333334,0.7133333333333333,0.6987187447017248,0.8837333333333334,76.4695029258728,0.3406407833099365,2290.99658203125,6.20468,0.7884615384615384,0.5777777777777777,0.7547169811320755,bestparams_rerun
