Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5,Eval-Split,SweepSmoothing
SMP2020,2000,LoRA-Focal,123,0.6633699487269261,0.6633699487269262,0.67,0.67,0.6519687768483917,0.9216266666666666,107.65931248664856,0.6441507339477539,2009.16259765625,0.88935,0.7027027027027027,0.5263157894736842,0.7272727272727273,0.7551020408163265,0.711864406779661,0.5569620253164557,smp2000_sharedcheck,
SMP2020,2000,LoRA-LDAM,123,0.5922719850978947,0.5922719850978947,0.6066666666666667,0.6066666666666666,0.568750573216422,0.8891333333333334,85.661630153656,0.6377291679382324,2009.16259765625,0.88935,0.6226415094339622,0.4235294117647059,0.6666666666666666,0.6825396825396826,0.6987951807228916,0.4594594594594595,smp2000_sharedcheck,
SMP2020,2000,LoRA-LogitAdj,123,0.6683212267000552,0.6683212267000553,0.6733333333333333,0.6733333333333333,0.6563779944852125,0.9161466666666668,88.72103667259216,0.7391886711120605,2009.16259765625,0.88935,0.6666666666666666,0.5148514851485149,0.7476635514018691,0.8118811881188119,0.7047619047619048,0.5641025641025641,smp2000_sharedcheck,
SMP2020,2000,LoRA-Ours,123,0.7041895159552544,0.7041895159552544,0.7,0.7000000000000001,0.6957463463037545,0.91072,145.23292803764343,0.8161838054656982,2082.306640625,6.898318,0.6739130434782609,0.5901639344262295,0.7551020408163265,0.8421052631578947,0.7047619047619048,0.6590909090909091,s2k_proper,
SMP2020,2000,LoRA-Vanilla,123,0.5878534705852709,0.5878534705852709,0.61,0.61,0.5575058868123793,0.9196666666666666,101.66959238052368,0.7642233371734619,2009.16162109375,0.88935,0.6728971962616822,0.42105263157894735,0.6890756302521008,0.6323529411764706,0.6875,0.42424242424242425,smp2000_sharedcheck,
SMP2020,2000,DoRA-Balanced,789,0.7329303562101548,0.7329303562101548,0.73,0.73,0.7238289004942451,0.9249466666666666,113.72064852714539,0.9586896896362305,2480.9111328125,0.916998,0.6511627906976745,0.6346153846153846,0.8,0.8791208791208791,0.7547169811320755,0.6779661016949152,smp2000_sharedcheck,
SMP2020,2000,Full-FineTuning,789,0.7070710222857105,0.7070710222857105,0.7033333333333334,0.7033333333333333,0.7000974476841229,0.9137733333333333,109.06543040275574,0.4213082790374756,3078.3310546875,102.272262,0.6862745098039216,0.594059405940594,0.7741935483870968,0.8387096774193549,0.6881720430107527,0.6610169491525424,smp2000_sharedcheck,
SMP2020,2000,LoRA-Ablation-NoHSP,789,0.6909304012979182,0.690930401297918,0.69,0.6900000000000001,0.6826845000173818,0.92332,129.86077880859375,1.1760869026184082,2017.75927734375,1.578374,0.6046511627906976,0.5961538461538461,0.7311827956989247,0.8297872340425532,0.7115384615384616,0.6722689075630253,s2k_ablation,
SMP2020,2000,LoRA-Ablation-NoMem,789,0.7015290723875549,0.7015290723875549,0.7033333333333334,0.7033333333333333,0.6912000723441162,0.9177200000000001,91.1353988647461,0.6584246158599854,2069.04833984375,6.209294,0.6890756302521008,0.5454545454545454,0.7407407407407407,0.8314606741573034,0.7572815533980582,0.6451612903225806,s2k_ablation,
SMP2020,2000,LoRA-Balanced,789,0.7329303562101548,0.7329303562101548,0.73,0.73,0.7238289004942451,0.9246800000000001,90.48424434661865,0.8192219734191895,2009.162109375,0.88935,0.6511627906976745,0.6346153846153846,0.8,0.8791208791208791,0.7547169811320755,0.6779661016949152,smp2000_sharedcheck,
SMP2020,2000,LoRA-Focal,789,0.7044418612058642,0.7044418612058642,0.7033333333333334,0.7033333333333333,0.6967151711366996,0.9244533333333332,89.87262392044067,0.6491825580596924,2009.16259765625,0.88935,0.6206896551724138,0.6428571428571429,0.7450980392156863,0.8275862068965517,0.7567567567567568,0.6336633663366337,smp2000_sharedcheck,
SMP2020,2000,LoRA-LDAM,789,0.6008727011092428,0.6008727011092428,0.63,0.63,0.5578399533433526,0.9089733333333333,122.83266162872314,0.6522412300109863,2009.16259765625,0.88935,0.640625,0.4883720930232558,0.7358490566037735,0.7192982456140351,0.7307692307692307,0.2903225806451613,smp2000_sharedcheck,
SMP2020,2000,LoRA-LogitAdj,789,0.6721297309200152,0.6721297309200152,0.67,0.67,0.6616413500675631,0.9202133333333333,89.96292018890381,0.637427568435669,2009.16259765625,0.88935,0.5882352941176471,0.5490196078431373,0.7358490566037735,0.8387096774193549,0.7755102040816326,0.5454545454545454,smp2000_sharedcheck,
SMP2020,2000,LoRA-Ours,789,0.7121073798846346,0.7121073798846347,0.7066666666666667,0.7066666666666667,0.7050381415382866,0.9198399999999999,127.20011806488037,0.923516035079956,2078.103515625,6.898318,0.6595744680851063,0.6126126126126126,0.76,0.8409090909090909,0.7446808510638298,0.6548672566371682,s2k_proper,
SMP2020,2000,LoRA-Vanilla,789,0.6442156417965301,0.6442156417965301,0.6533333333333333,0.6533333333333332,0.6312298127453686,0.9155599999999998,146.82315683364868,0.6336605548858643,2009.16162109375,0.88935,0.660377358490566,0.5217391304347826,0.7454545454545455,0.6890756302521008,0.7291666666666666,0.5194805194805194,smp2000_sharedcheck,
