Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,1000,AHSP-Mean+Attn,2024,0.6379700854700854,0.6379700854700855,0.64,0.64,0.6316359597656379,0.8125333333333334,78.43001103401184,0.5360090732574463,2469.345703125,5.714056,0.72,0.5208333333333334,0.673076923076923
TweetEval,1000,AHSP-Mean+Attn,1001,0.7036682615629983,0.7036682615629983,0.7066666666666667,0.7066666666666666,0.6986641188907992,0.8442,74.4455795288086,0.5517735481262207,1924.353515625,5.714056,0.7368421052631577,0.6105263157894737,0.7636363636363636
TweetEval,1000,No-AHSP,45,0.6411927877947295,0.6411927877947295,0.6466666666666666,0.6466666666666666,0.6313952448186354,0.7987333333333332,106.4388678073883,0.5245983600616455,1975.99755859375,1.576067,0.7378640776699028,0.5000000000000001,0.6857142857142857
TweetEval,1000,No-AHSP,123,0.6743043884220355,0.6743043884220354,0.6733333333333333,0.6733333333333332,0.6697600685408264,0.8301999999999999,119.02323746681213,0.5073175430297852,1912.20849609375,1.576067,0.7142857142857142,0.5686274509803922,0.74
TweetEval,1000,No-AHSP,789,0.7164531182908592,0.7164531182908592,0.72,0.7200000000000001,0.7114418889368219,0.8374666666666667,91.92307829856873,0.5258972644805908,2416.93994140625,1.576067,0.7927927927927928,0.6391752577319586,0.717391304347826
TweetEval,1000,No-AHSP,2024,0.6438247863247863,0.6438247863247863,0.6466666666666666,0.6466666666666666,0.6313952448186354,0.8224,86.0803451538086,0.5180151462554932,2418.62744140625,1.576067,0.76,0.4791666666666667,0.6923076923076923
TweetEval,1000,No-AHSP,1001,0.6755645061635622,0.6755645061635622,0.6733333333333333,0.6733333333333332,0.6712133652488381,0.8107333333333333,98.77441453933716,0.523268461227417,1873.4033203125,1.576067,0.7578947368421052,0.5825242718446602,0.6862745098039216
TweetEval,2000,AHSP-Full,45,0.6805152425354896,0.6805152425354896,0.6866666666666666,0.6866666666666666,0.6723950813597928,0.8210666666666667,119.98461771011353,0.5262463092803955,2480.5078125,6.893704,0.7524752475247525,0.5617977528089888,0.7272727272727272
TweetEval,2000,AHSP-Full,123,0.7290904342253706,0.7290904342253707,0.7333333333333333,0.7333333333333333,0.724620491031826,0.8325333333333331,100.74241757392883,0.53369140625,2262.14453125,6.893704,0.7692307692307692,0.6516853932584269,0.7663551401869159
TweetEval,2000,AHSP-Full,789,0.731345496808841,0.7313454968088412,0.7333333333333333,0.7333333333333334,0.7286608337584213,0.8190666666666667,109.23594045639038,0.5335381031036377,2480.35986328125,6.893704,0.7766990291262137,0.6526315789473685,0.7647058823529411
TweetEval,2000,AHSP-Full,2024,0.7138112491373362,0.7138112491373361,0.72,0.7200000000000001,0.7066041636107893,0.8431333333333333,84.1828761100769,0.6336803436279297,2504.1328125,6.893704,0.8035714285714286,0.6086956521739131,0.7291666666666667
TweetEval,2000,AHSP-Full,1001,0.7264371040512425,0.7264371040512425,0.7266666666666667,0.7266666666666666,0.7223789622554675,0.8376666666666667,91.85651469230652,0.5491616725921631,1982.41357421875,6.893704,0.816326530612245,0.6391752577319586,0.7238095238095238
TweetEval,2000,AHSP-OnlyMax,45,0.7003160316031604,0.7003160316031602,0.7,0.6999999999999998,0.696939015280706,0.8316666666666667,99.141437292099,0.5483608245849609,2453.9482421875,4.534408,0.7878787878787878,0.62,0.693069306930693
TweetEval,2000,AHSP-OnlyMax,123,0.6996289505412112,0.6996289505412111,0.7,0.7000000000000001,0.6965270152938889,0.8431333333333333,103.10825490951538,0.5399854183197021,2224.580078125,4.534408,0.7766990291262137,0.6274509803921569,0.6947368421052631
TweetEval,2000,AHSP-OnlyMax,789,0.6966490299823632,0.6966490299823633,0.7066666666666667,0.7066666666666667,0.6858095105850717,0.8306,129.05886340141296,0.5438873767852783,2446.7138671875,4.534408,0.7777777777777777,0.5714285714285713,0.7407407407407408
TweetEval,2000,AHSP-OnlyMax,2024,0.73070987654321,0.73070987654321,0.7333333333333333,0.7333333333333334,0.7267876613981697,0.8464666666666667,140.3502905368805,0.5606439113616943,2470.9794921875,4.534408,0.7962962962962963,0.6458333333333334,0.7499999999999999
TweetEval,2000,AHSP-OnlyMax,1001,0.709713287750671,0.7097132877506709,0.7133333333333334,0.7133333333333334,0.7027591779334565,0.8488666666666665,153.5116024017334,0.5379812717437744,1936.669921875,4.534408,0.822429906542056,0.6476190476190475,0.6590909090909091
TweetEval,2000,AHSP-OnlyMean,45,0.6643757159221076,0.6643757159221076,0.6666666666666666,0.6666666666666666,0.6594056479693692,0.8216,82.48347163200378,0.5445783138275146,2452.7451171875,4.534408,0.761904761904762,0.5714285714285714,0.6597938144329897
TweetEval,2000,AHSP-OnlyMean,123,0.6999544999545,0.6999544999544999,0.7066666666666667,0.7066666666666667,0.6928802101749273,0.8437333333333333,74.14792156219482,0.5589499473571777,2226.9775390625,4.534408,0.7927927927927928,0.6000000000000001,0.7070707070707072
TweetEval,2000,AHSP-OnlyMean,789,0.6922505084508029,0.6922505084508029,0.6933333333333334,0.6933333333333334,0.6893629911736882,0.8164000000000001,116.46762347221375,0.5857455730438232,2450.0107421875,4.534408,0.7428571428571428,0.6122448979591836,0.7216494845360825
TweetEval,2000,AHSP-OnlyMean,2024,0.701928969816933,0.7019289698169329,0.7066666666666667,0.7066666666666667,0.6955692935680158,0.8400666666666665,87.61376452445984,0.5595602989196777,2474.1044921875,4.534408,0.7663551401869159,0.5869565217391305,0.7524752475247525
TweetEval,2000,AHSP-OnlyMean,1001,0.7192553297968173,0.7192553297968171,0.72,0.7200000000000001,0.7161939073035447,0.8371333333333334,128.956622838974,0.5435018539428711,1934.169921875,4.534408,0.796116504854369,0.64,0.7216494845360825
TweetEval,2000,AHSP-OnlyAttn,45,0.6853034397624529,0.6853034397624528,0.6866666666666666,0.6866666666666666,0.6803227994517106,0.8278,83.35554695129395,0.5437262058258057,2457.9609375,4.534408,0.796116504854369,0.6,0.6597938144329897
TweetEval,2000,AHSP-OnlyAttn,123,0.7160016130658334,0.7160016130658332,0.72,0.7200000000000001,0.7117262761312421,0.8373333333333334,88.40460896492004,0.5867509841918945,2231.9521484375,4.534408,0.7706422018348624,0.6373626373626374,0.74
TweetEval,2000,AHSP-OnlyAttn,789,0.6893133371062063,0.6893133371062063,0.6933333333333334,0.6933333333333334,0.6838991677909909,0.8186666666666667,121.2646656036377,0.5690677165985107,2454.0390625,4.534408,0.75,0.6021505376344087,0.7157894736842104
TweetEval,2000,AHSP-OnlyAttn,2024,0.6998498648783906,0.6998498648783906,0.7,0.6999999999999998,0.6958667997178797,0.8376,119.59077763557434,0.5594558715820312,2474.8828125,4.534408,0.7422680412371133,0.6,0.7572815533980584
TweetEval,2000,AHSP-OnlyAttn,1001,0.6939699792960662,0.6939699792960662,0.7,0.7000000000000001,0.6877092696268312,0.8409333333333334,85.73032331466675,0.5441339015960693,1950.72216796875,4.534408,0.7857142857142856,0.6086956521739131,0.6875
TweetEval,2000,AHSP-Max+Mean,45,0.6771056214744213,0.6771056214744213,0.68,0.68,0.6726780759560665,0.8311333333333334,87.2992753982544,0.5367879867553711,2463.88671875,5.714056,0.7735849056603773,0.5979381443298969,0.6597938144329897
TweetEval,2000,AHSP-Max+Mean,123,0.7302777783367643,0.7302777783367643,0.7333333333333333,0.7333333333333334,0.7267876613981697,0.8410000000000001,101.03228902816772,0.5506420135498047,2243.7119140625,5.714056,0.7889908256880733,0.6595744680851063,0.7422680412371133
TweetEval,2000,AHSP-Max+Mean,789,0.7036925522690048,0.7036925522690047,0.7066666666666667,0.7066666666666667,0.6998094719557494,0.8196666666666667,108.98545503616333,0.586029052734375,2463.0576171875,5.714056,0.7850467289719626,0.6250000000000001,0.7010309278350516
TweetEval,2000,AHSP-Max+Mean,2024,0.735080982024955,0.7350809820249549,0.74,0.7400000000000001,0.729283089256172,0.8479333333333333,119.78069233894348,0.5332558155059814,2483.4638671875,5.714056,0.8214285714285714,0.6526315789473685,0.7311827956989247
