Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,AHSP-OnlyAttn,123,0.6675534184055376,0.6675534184055375,0.6633333333333333,0.6633333333333334,0.6514219723270968,0.9052666666666668,119.95344662666321,1.1025872230529785,2076.58203125,4.539022,0.5977011494252874,0.5606060606060606,0.7155963302752294,0.8387096774193549,0.7472527472527473,0.5454545454545454
SMP2020,1000,AHSP-OnlyMax,123,0.6706517281961907,0.6706517281961907,0.6666666666666666,0.6666666666666666,0.658304317182553,0.9101333333333333,149.47249364852905,1.0916411876678467,2065.21435546875,4.539022,0.6538461538461539,0.5309734513274337,0.7474747474747475,0.8387096774193549,0.7422680412371134,0.5106382978723404
SMP2020,1000,AHSP-OnlyMean,123,0.6838928317039027,0.6838928317039027,0.68,0.68,0.6753251002440561,0.8988933333333332,147.1690936088562,1.1517903804779053,2067.30517578125,4.539022,0.6530612244897959,0.5242718446601942,0.7524752475247525,0.8351648351648352,0.7272727272727273,0.6111111111111112
SMP2020,1000,No-AHSP,123,0.6820798555049702,0.6820798555049701,0.68,0.6799999999999998,0.6745936681695135,0.9121066666666667,111.68461060523987,0.8341648578643799,2035.5771484375,1.578374,0.6262626262626263,0.5918367346938775,0.7368421052631579,0.8478260869565217,0.6956521739130435,0.594059405940594
SMP2020,1000,AHSP-Max+Attn,789,0.6790087298089871,0.679008729808987,0.6766666666666666,0.6766666666666667,0.6700231195059598,0.9058933333333333,139.42628979682922,1.4177470207214355,2098.771484375,5.71867,0.6548672566371682,0.5714285714285714,0.7378640776699029,0.8172043010752689,0.7526881720430108,0.54
SMP2020,1000,AHSP-Max+Mean,789,0.6790087298089871,0.679008729808987,0.6766666666666666,0.6766666666666667,0.6700231195059598,0.9059066666666666,134.06412267684937,1.5513811111450195,2089.75341796875,5.71867,0.6548672566371682,0.5714285714285714,0.7378640776699029,0.8172043010752689,0.7526881720430108,0.54
SMP2020,1000,AHSP-Mean+Attn,789,0.6617942244473639,0.6617942244473638,0.66,0.66,0.6543275426063253,0.90712,125.4017825126648,1.3529937267303467,2101.6416015625,5.71867,0.6534653465346535,0.5531914893617021,0.7254901960784313,0.7956989247311828,0.7058823529411765,0.5370370370370371
SMP2020,1000,AHSP-OnlyAttn,789,0.6825502130676832,0.6825502130676833,0.68,0.68,0.6760264158257755,0.9084666666666665,128.75422430038452,1.615067958831787,2077.5654296875,4.539022,0.6947368421052632,0.5714285714285714,0.7047619047619048,0.8210526315789474,0.7346938775510204,0.5686274509803921
SMP2020,1000,AHSP-OnlyMax,789,0.6787651352018181,0.678765135201818,0.6766666666666666,0.6766666666666666,0.6712787651069091,0.9039066666666665,166.77355766296387,1.9269537925720215,2065.21435546875,4.539022,0.6868686868686869,0.5531914893617021,0.7524752475247525,0.8172043010752689,0.6862745098039216,0.5765765765765766
SMP2020,1000,AHSP-OnlyMean,789,0.6825502130676832,0.6825502130676833,0.68,0.68,0.6760264158257755,0.9081866666666666,151.03109765052795,1.1812360286712646,2067.12353515625,4.539022,0.6947368421052632,0.5714285714285714,0.7047619047619048,0.8210526315789474,0.7346938775510204,0.5686274509803921
SMP2020,1000,No-AHSP,789,0.6902778223915506,0.6902778223915508,0.69,0.69,0.6841973776010949,0.90756,172.3721945285797,2.0173728466033936,2034.46875,1.578374,0.6792452830188679,0.5833333333333334,0.7326732673267327,0.8297872340425532,0.7307692307692307,0.5858585858585859
SMP2020,1000,AHSP-Max+Attn,1001,0.6695636192222837,0.6695636192222836,0.6633333333333333,0.6633333333333334,0.6599352542251561,0.9177200000000001,143.51035356521606,1.0857906341552734,2097.646484375,5.71867,0.5607476635514018,0.5555555555555556,0.6981132075471698,0.8351648351648352,0.7555555555555555,0.6122448979591837
SMP2020,1000,AHSP-Max+Mean,1001,0.6982651414004238,0.6982651414004237,0.6966666666666667,0.6966666666666667,0.6895749398842828,0.9141066666666667,153.35819053649902,1.031282901763916,2087.62548828125,5.71867,0.6542056074766355,0.5777777777777777,0.75,0.8314606741573034,0.7706422018348624,0.6055045871559633
SMP2020,1000,AHSP-Mean+Attn,1001,0.6439368604828276,0.6439368604828275,0.6433333333333333,0.6433333333333334,0.6341819466731711,0.9022399999999999,139.7845277786255,1.087578296661377,2097.6474609375,5.71867,0.5360824742268041,0.5684210526315789,0.7222222222222222,0.8125,0.7010309278350515,0.5233644859813084
