Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,LoRA-Focal,1001,0.7164345373760561,0.7164345373760561,0.7133333333333334,0.7133333333333334,0.705536356464108,0.9263466666666665,135.13631296157837,1.2089004516601562,1971.36865234375,0.88935,0.6067415730337079,0.5486725663716814,0.78,0.8695652173913043,0.7663551401869159,0.7272727272727272
SMP2020,1000,LoRA-Focal,45,0.6868982366925259,0.6868982366925258,0.69,0.6900000000000001,0.6745579130763963,0.9232266666666665,176.9072766304016,1.2072672843933105,1971.36865234375,0.88935,0.6548672566371682,0.5918367346938774,0.7663551401869159,0.8478260869565217,0.7428571428571428,0.5176470588235295
SMP2020,1000,LoRA-LDAM,123,0.5685834950667945,0.5685834950667945,0.61,0.61,0.5149278394092176,0.8981733333333333,217.02534174919128,1.2224109172821045,1971.36865234375,0.88935,0.6101694915254237,0.37333333333333335,0.7179487179487181,0.7049180327868853,0.7339449541284404,0.27118644067796616
SMP2020,1000,LoRA-LDAM,789,0.6352381063880593,0.6352381063880593,0.6566666666666666,0.6566666666666667,0.6041420169658291,0.9103066666666667,203.25555562973022,1.1909866333007812,1971.36865234375,0.88935,0.6554621848739495,0.5777777777777778,0.7889908256880733,0.7213114754098361,0.7096774193548386,0.3582089552238806
SMP2020,1000,LoRA-LDAM,2024,0.6293263707816373,0.6293263707816373,0.6566666666666666,0.6566666666666666,0.5946503407076248,0.9095733333333332,176.67791104316711,1.1980936527252197,1971.36865234375,0.88935,0.6545454545454547,0.5111111111111112,0.7304347826086957,0.7543859649122807,0.7706422018348624,0.3548387096774193
SMP2020,1000,LoRA-LDAM,1001,0.6077509480867553,0.6077509480867553,0.6333333333333333,0.6333333333333333,0.5761833632657158,0.9024666666666668,195.78750658035278,1.1912124156951904,1971.36865234375,0.88935,0.5794392523364487,0.425,0.7142857142857143,0.7567567567567568,0.7592592592592593,0.4117647058823529
SMP2020,1000,LoRA-LDAM,45,0.6508904312243843,0.6508904312243844,0.6733333333333333,0.6733333333333333,0.6219176373808306,0.9165866666666668,216.40836143493652,1.1964695453643799,1971.36865234375,0.88935,0.6727272727272727,0.5301204819277109,0.7258064516129032,0.7747747747747747,0.796116504854369,0.40579710144927544
SMP2020,1000,LoRA-LogitAdj,123,0.6927999065423002,0.6927999065423001,0.71,0.71,0.6668458115480952,0.9201733333333334,197.31288170814514,1.195957899093628,1971.36865234375,0.88935,0.6833333333333333,0.5057471264367815,0.780952380952381,0.8431372549019608,0.8571428571428571,0.48648648648648657
SMP2020,1000,LoRA-LogitAdj,789,0.707911918328585,0.707911918328585,0.7133333333333334,0.7133333333333333,0.7018070880967984,0.9153199999999999,169.70636415481567,1.197263240814209,1971.36865234375,0.88935,0.6875,0.6153846153846154,0.8,0.7884615384615384,0.7407407407407408,0.6153846153846154
SMP2020,1000,LoRA-LogitAdj,2024,0.6921678189031355,0.6921678189031355,0.7033333333333334,0.7033333333333333,0.6792088984764931,0.90684,183.36014413833618,1.2027640342712402,1971.36865234375,0.88935,0.6947368421052631,0.5777777777777778,0.7826086956521738,0.7777777777777777,0.7962962962962963,0.5238095238095238
SMP2020,1000,LoRA-LogitAdj,1001,0.7184486176320859,0.7184486176320858,0.7233333333333334,0.7233333333333333,0.7106705953988581,0.9211999999999999,216.14998865127563,1.1997430324554443,1971.36865234375,0.88935,0.6666666666666666,0.5531914893617023,0.7818181818181817,0.830188679245283,0.7766990291262137,0.702127659574468
SMP2020,1000,LoRA-LogitAdj,45,0.7180778812909611,0.7180778812909611,0.7266666666666667,0.7266666666666666,0.7064594076942797,0.9189066666666665,148.7342278957367,1.1954729557037354,1971.36865234375,0.88935,0.6796116504854369,0.5411764705882354,0.7964601769911505,0.8431372549019608,0.7889908256880733,0.6590909090909091
SMP2020,1000,Full-FineTuning,123,0.6999635253412433,0.6999635253412433,0.7066666666666667,0.7066666666666667,0.6846829645116428,0.9034000000000001,264.993057012558,1.1474077701568604,3439.0234375,102.272262,0.7027027027027027,0.5057471264367815,0.689655172413793,0.822429906542056,0.803921568627451,0.6753246753246753
SMP2020,1000,Full-FineTuning,789,0.6722056752310149,0.6722056752310148,0.68,0.68,0.6606041588770969,0.9151333333333334,188.96839904785156,1.123084306716919,3445.830078125,102.272262,0.6666666666666666,0.5567010309278351,0.7321428571428572,0.7850467289719626,0.7676767676767676,0.525
SMP2020,1000,Full-FineTuning,2024,0.7099942382227047,0.7099942382227048,0.72,0.7200000000000001,0.6977313927290905,0.9068266666666668,225.44230461120605,1.1242127418518066,3447.7109375,102.272262,0.7238095238095238,0.5652173913043478,0.8037383177570094,0.7964601769911505,0.7884615384615384,0.5822784810126583
SMP2020,1000,Full-FineTuning,1001,0.6784721593855622,0.6784721593855619,0.6866666666666666,0.6866666666666666,0.6656364154314782,0.9120399999999999,187.67296242713928,1.1376383304595947,3449.005859375,102.272262,0.6923076923076923,0.5116279069767442,0.7142857142857142,0.8125,0.7719298245614036,0.5681818181818182
SMP2020,1000,Full-FineTuning,45,0.6875233317971641,0.6875233317971641,0.6966666666666667,0.6966666666666667,0.6715857447038384,0.9209333333333333,208.73739886283875,1.1353607177734375,3449.2724609375,102.272262,0.712871287128713,0.4883720930232558,0.728813559322034,0.8484848484848485,0.736842105263158,0.6097560975609756
SMP2020,2000,LoRA-Vanilla,123,0.6644699622044182,0.6644699622044182,0.6866666666666666,0.6866666666666666,0.6334397382216566,0.9319999999999999,179.07849168777466,1.1956660747528076,1973.91162109375,0.88935,0.6792452830188679,0.5227272727272727,0.7758620689655172,0.7200000000000001,0.8514851485148515,0.43750000000000006
